tr_index,time,spectral_flux,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,fundamental_frequency,rms_energy_db,category,is_music,is_silence,is_speech,is_speech_music
775,1163.250068027211,1.3453890443301912,1.1933036421824885,1.360085250596822,0.454745302246139,0.5453983798836128,-0.07913664940866601,0.049176486964609675,0.009088976895148449,-0.45335505795495445,-0.4045602964169354,-0.32818548949366194,-0.19679554710689381,0.26610287185341797,-0.5651037616308746,-1.028359913016474,-0.06963871746326222,1.0817673574561477,speech,False,False,True,False
776,1164.7477551020409,1.0877053264978702,0.7752456798314986,0.7067672086166903,0.3159109737903878,0.7000730958531296,-0.22214727702576129,0.08560057143826258,0.37899885239666614,-0.12162454813033313,-0.7169818824759643,-0.5140569424919594,-0.1531709854677275,-0.05211636416828838,-0.747791847168352,-0.4479775294658366,-0.07207052504042083,1.004113205034133,speech,False,False,True,False
777,1166.2454421768707,0.6684875527404605,0.4317192166440057,0.29926201772086897,0.1479973801962475,0.5461970195207736,-0.3738103728338577,-0.039640723258284986,0.7924038237795079,0.29893223169890576,-0.966667687894956,-0.6830984428314348,0.003923136671670585,-0.17455690876408939,-0.778297149104399,-0.017312615145430255,-0.14428813256497078,0.8724455155669695,speech,False,False,True,False
778,1167.7547392290248,0.3409797392817825,0.25627115457695054,0.1695249005287691,0.09465630300909,0.35342544299497375,-0.3537402995619669,-0.04552348555866681,1.006095934371906,0.6252023186216723,-0.93963949114217,-0.6588073635074416,0.27728959490512195,-0.043122575752492384,-0.7366019369680257,0.1387826160922482,-0.23640252082084495,0.6476909134287168,speech,False,False,True,False
779,1169.252426303855,0.2738666005136358,0.18515061271928357,0.018406530747445485,0.10247522938849185,0.47544793772356153,-0.1241378170334673,0.0980239085419251,0.6702767492529003,0.594245462912538,-0.7585711918482853,-0.5436541355198378,0.35609607914635055,0.16912302943290428,-0.6290442450228647,0.3139071276156551,-0.2834535265652786,0.4955175159949332,speech,False,False,True,False
780,1170.7501133786848,0.48876843560544564,0.3671306865996006,-0.002454285946885182,-0.027315358117580443,0.8198166787156494,0.18078994722134606,0.05397233475216465,-0.09374754829133407,0.10815171361269062,-0.6669032224573418,-0.7670081861331421,-0.16353159009062324,0.1482371652600646,-0.5267763703295457,0.27338744576274254,-0.1731695504027884,0.5772622042278339,speech,False,False,True,False
781,1172.2478004535146,0.8569364389030761,0.8213311042272261,0.28516921868241263,-0.34461558818550414,1.0057904686365275,0.2706774929305681,-0.33547676397997345,-0.6674857842414592,-0.5537617656802698,-0.7286806248671001,-1.1008297076537699,-0.7925003113140032,-0.05341582215116889,-0.5856715661165605,-0.06532281762519133,0.0028030009162979346,0.7500450709336499,speech,False,False,True,False
782,1173.7454875283447,1.0130075880132392,1.037778404946833,0.49110038285129387,-0.503150008149015,1.1702019904715981,0.4482693018016908,-0.6853197658551216,-1.017538171523926,-0.9759171634583345,-0.6163191103469922,-1.074868954714613,-0.9657207544711827,-0.20331443001811944,-0.5891618570215055,-0.36075674117328727,0.08429151782306077,0.7841932964489817,speech,False,False,True,False
783,1175.2547845804988,0.8252561386370746,0.7602265870899704,0.32915825962551576,-0.4193254280774451,1.155668488862054,0.5329627037729955,-0.6656154518065862,-0.9835649099197974,-1.0775595502551307,-0.4008539090947991,-0.6908427863098204,-0.6801986662282362,-0.13234222361663933,-0.5167681084797446,-0.22559858401989233,0.028991053925210324,0.7082518978068306,speech,False,False,True,False
784,1176.7524716553287,0.8266379726596458,0.4876540088558658,0.2407145940805399,-0.1809872029124981,0.8465768585721193,0.26465354049195955,-0.4312951246317332,-0.7364043001732913,-1.0637004800869085,-0.5106797532696595,-0.35417809448205134,-0.24097487427431458,0.039487474556979055,-0.5282213919781255,-0.10713019303826316,-0.05850874159556024,0.6500861224466626,speech,False,False,True,False
